Processing Log
Voxel128: 2.1327502166957703e-05

glass_box: glass_box_0147
Slice64: 0.005112870269066115
Slice128: 0.002414681395777876
Voxel64: 0.007213332375959758
Voxel128: 0.0015438796272393936

glass_box: glass_box_0087
Slice64: 0.006645619995465479
Slice128: 0.0030029851572025345
Voxel64: 5.534163520446818e-05
Voxel128: 5.534163520446818e-05

glass_box: glass_box_0156
Slice64: 0.00555587867203152
Slice128: 0.0025721391127813365
Voxel64: 0.00023388838627100302
Voxel128: 0.0001547658027771897

glass_box: glass_box_0001
Slice64: 0.004425595924010543
Slice128: 0.002626905815024054
Voxel64: 6.61103112085378e-06
Voxel128: 6.61103112085378e-06

glass_box: glass_box_0037
Slice64: 0.005675763198391838
Slice128: 0.004780145405857864
Voxel64: 0.00616703579881969
Voxel128: 0.002286187434444367

glass_box: glass_box_0062
Slice64: 0.00555587867203152
Slice128: 0.0025721391127813365
Voxel64: 0.00023388838627100302
Voxel128: 0.0001547658027771897

glass_box: glass_box_0154
Slice64: 0.007011528892251588
Slice128: 0.002861644582427823
Voxel64: 0.0003337448395303709
Voxel128: 1.0331582664117299e-05

glass_box: glass_box_0025
Slice64: 0.005510770821587643
Slice128: 0.0022620781512873783
Voxel64: 1.4460739747279665e-05
Voxel128: 1.4460739747279665e-05

glass_box: glass_box_0074
Slice64: 1.1601816270025055e-09
Slice128: 1.1601816270025055e-09
Voxel64: 1.1601816270025055e-09
Voxel128: 1.1601816270025055e-09

glass_box: glass_box_0132
Slice64: 0.005510770821587643
Slice128: 0.0022620781512873783
Voxel64: 1.4460739747279665e-05
Voxel128: 1.4460739747279665e-05

glass_box: glass_box_0125
Slice64: 0.0054748660353412994
Slice128: 0.0026905668256861086
Voxel64: 0.004142944182508993
Voxel128: 0.0020420643480841966

glass_box: glass_box_0007
Slice64: 0.005348627398036376
Slice128: 0.0024710002339302936
Voxel64: 8.45031959240285e-09
Voxel128: 8.45031959240285e-09

glass_box: glass_box_0101
Slice64: 0.005285804640627795
Slice128: 0.0026036796626631095
Voxel64: 1.558919162206915e-05
