Processing Log
Slice64: 0.006117367792079107
Slice128: 0.005953920069186801
Voxel64: 0.010746432276189537
Voxel128: 0.003648989930074814

glass_box: glass_box_0062
Slice64: 0.00550364333204677
Slice128: 0.0025330218777775584
Voxel64: 0.00035125856420417846
Voxel128: 0.00022950486445600724

glass_box: glass_box_0154
Slice64: 0.00764728562674854
Slice128: 0.0029110355899194078
Voxel64: 0.0004992424295806386
Voxel128: 1.3128914256754627e-05

glass_box: glass_box_0025
Slice64: 0.005599657607893467
Slice128: 0.0021900667015674856
Voxel64: 1.565494415759177e-05
Voxel128: 1.565494415759177e-05

glass_box: glass_box_0074
Slice64: 1.1601816270025055e-09
Slice128: 1.1601816270025055e-09
Voxel64: 1.1601816270025055e-09
Voxel128: 1.1601816270025055e-09

glass_box: glass_box_0132
Slice64: 0.005599657607893467
Slice128: 0.0021900667015674856
Voxel64: 1.565494415759177e-05
Voxel128: 1.565494415759177e-05

glass_box: glass_box_0125
Slice64: 0.006212497291761773
Slice128: 0.0027575026279645807
Voxel64: 0.0068996063322693995
Voxel128: 0.00318141628064886

glass_box: glass_box_0007
Slice64: 0.0053481348874857264
Slice128: 0.0024746125951116663
Voxel64: 8.563661640759078e-09
Voxel128: 8.563661640759078e-09

glass_box: glass_box_0101
Slice64: 0.00516971159645193
Slice128: 0.002545004168496925
Voxel64: 1.983561363270397e-05
Voxel128: 1.983561363270397e-05

glass_box: glass_box_0047
Slice64: 0.005720447431197298
Slice128: 0.0027193567902052797
Voxel64: 0.005893751422335391
Voxel128: 0.003183283738044164

glass_box: glass_box_0035
Slice64: 0.009354477392308136
Slice128: 0.011253361753330162
Voxel64: 0.012512270779468062
Voxel128: 0.011560278364915641

glass_box: glass_box_0073
Slice64: 0.013192831862697181
Slice128: 0.00565443401257476
Voxel64: 0.024841258289617765
Voxel128: 8.43770810873231e-09

glass_box: glass_box_0041
Slice64: 0.006099553891392266
Slice128: 0.0035720700292722614
Voxel64: 0.0011230817396105297
Voxel128: 0.00038068745214290634

glass_box: glass_box_0023
Slice64: 0.006154689702353705
Slice128: 0.0025285089580782544
Voxel64: 1.7495086363100767e-05
Voxel128: 1.7495086363100767e-05

glass_box: glass_box_0002
Slice64: 0.005542003505373198
Slice128: 0.0026715858038502
Voxel64: 0.0010620240123078086
Voxel128: 1.8034276836422974e-05

glass_box: glass_box_0137
Slice64: 0.004859250049732931
Slice128: 0.002471732744056783
Voxel64: 4.43387388196363e-05
Voxel128: 4.43387388196363e-05

glass_box: glass_box_0141
Slice64: 0.007068881877233664
Slice128: 0.002568524130963771
Voxel64: 2.6819412697677026e-05
Voxel128: 2.6819412697677026e-05

glass_box: glass_box_0004
Slice64: 0.006121261527546373
Slice128: 0.002488609575309202
Voxel64: 0.003473946646988842
Voxel128: 1.4960108545726912e-05

glass_box: glass_box_0070
Slice64: 0.011415196195902049
Slice128: 0.009907640188364077
Voxel64: 0.008501380286659208
Voxel128: 0.007955650377685631

glass_box: glass_box_0135
Slice64: 0.00619653552339363
Slice128: 0.002673636096797135
Voxel64: 0.003909264888112817
Voxel128: 1.8022541529687372e-05

glass_box: glass_box_0021
Slice64: 0.0042720660385845224
Slice128: 0.002344111128994708
Voxel64: 1.585111687650729e-05
Voxel128: 1.585111687650729e-05

glass_box: glass_box_0083
Slice64: 0.006043192573303355
Slice128: 0.0028048147276856696
Voxel64: 1.0782346412610093e-07
Voxel128: 1.0782346412610093e-07

glass_box: glass_box_0064
Slice64: 0.005456044841781978
Slice128: 0.00231774519342996
Voxel64: 0.0005627337539180165
Voxel128: 1.5183442624644915e-05

glass_box: glass_box_0057
Slice64: 0.004729350638887703
Slice128: 0.002392960703091304
Voxel64: 1.5710182756262255e-05
Voxel128: 1.5710182756262255e-05

glass_box: glass_box_0099
Slice64: 0.005037049637836613
Slice128: 0.0025891933864228547
Voxel64: 0.00011439033009494046
Voxel128: 1.9823183257988967e-05

glass_box: glass_box_0046
Slice64: 0.004637781250490913
Slice128: 0.0027151823956076573
Voxel64: 8.385543168612048e-06
Voxel128: 8.385543168612048e-06

glass_box: glass_box_0092
Slice64: 0.009354477392308136
Slice128: 0.011253361753330162
Voxel64: 0.012512270779468062
Voxel128: 0.011560278364915641

glass_box: glass_box_0072
